id,order_id,product_id,quantity,unit_price,discount_amount,line_total,created_at
1,1,1,1,1299.99,0.00,1299.99,2024-02-01 10:30:00
2,1,2,1,29.99,0.00,29.99,2024-02-01 10:30:00
3,2,3,1,249.99,0.00,249.99,2024-02-02 11:15:00
4,2,2,1,29.99,0.00,29.99,2024-02-02 11:15:00
5,3,4,1,599.99,0.00,599.99,2024-02-05 14:20:00
6,4,1,1,1299.99,0.00,1299.99,2024-02-07 09:45:00
7,4,8,1,149.99,0.00,149.99,2024-02-07 09:45:00
8,4,2,1,29.99,0.00,29.99,2024-02-07 09:45:00
9,5,3,1,249.99,0.00,249.99,2024-02-10 16:00:00
10,6,7,1,79.99,0.00,79.99,2024-02-12 13:30:00
11,6,6,1,12.99,0.00,12.99,2024-02-12 13:30:00
12,7,1,1,1299.99,0.00,1299.99,2024-02-15 10:00:00
13,7,5,1,19.99,0.00,19.99,2024-02-15 10:00:00
14,7,2,1,29.99,0.00,29.99,2024-02-15 10:00:00
